STT,CID,SMILES,IC50 (uM)
297,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,18.4
298,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,18.4
299,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,35
300,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,42
301,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,77.29
302,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,90
303,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,98.5
304,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,100
305,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,100
306,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,118.5
307,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,138.5
308,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,200
309,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,380
310,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,380
311,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,380
312,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,385
313,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,385.41
314,676159,CN1C=C(C2=CC=CC=C21)C[C@@H](C(=O)O)N,498.7
315,685364,C1=CC(=C(C=C1Cl)Cl)CSC2=NC=NN2,195
316,689063,C1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3OC2=O,90.49
317,697993,C1=CC=C2C(=C1)NC(=S)S2,126
318,698285,COC(=O)/C(=C/1\C2=CC=CC=C2NC1=O)/C#N,1.8
319,698285,COC(=O)/C(=C/1\C2=CC=CC=C2NC1=O)/C#N,130
320,725906,CC(=O)/C=C\1/C2=CC=CC=C2NC1=O,1.69
321,763555,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=C(C=C5)O,522
322,781705,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC(=CC=C5)O,112
323,781705,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC(=CC=C5)O,173
324,802727,C1[C@@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,1.8
325,802727,C1[C@@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,1.8
326,802727,C1[C@@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,1.8
327,802728,C1[C@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,50
328,802728,C1[C@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,50
329,802728,C1[C@H](C(=O)NC1=O)C2=CNC3=CC=CC=C32,83
330,820765,CC1=CC=C(C=C1)C2=CSC(=S)N2,5.88844
331,820765,CC1=CC=C(C=C1)C2=CSC(=S)N2,5.9
332,992980,CC1=CC=C(C=C1)C2=CSC3=C2C(=O)N(C=N3)CC(=O)NC4=CC=CC5=CC=CC=C54,20.1
333,992984,CC1=CC=C(C=C1)C2=CSC3=C2C(=O)N(C=N3)CC(=O)NC4=CC=C(C=C4)OC,3.2
334,993112,COC1=CC=C(C=C1)NC(=O)CN2C=NC3=C(C2=O)C(=CS3)C4=CC(=C(C=C4)OC)OC,5.6
335,1016842,CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC(=S)NC2=C(C=CC3=CC=CC=C32)O,18
336,1016842,CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC(=S)NC2=C(C=CC3=CC=CC=C32)O,18
337,1016842,CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC(=S)NC2=C(C=CC3=CC=CC=C32)O,18.2
338,1016842,CCOC1=CC(=CC(=C1OCC)OCC)C(=O)NC(=S)NC2=C(C=CC3=CC=CC=C32)O,18.7
339,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
340,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
341,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
342,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
343,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
344,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
345,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
346,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
347,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
348,1085108,CC1=CC=C(C=C1)C2=CSC3=NN=C(N23)SCC(=O)NC4=CC5=C(C=C4)OCO5,3
349,1167203,C1=COC(=C1)CNC(=O)CN2C=NC3=C(C2=O)C(=CS3)C4=CC=C(C=C4)Cl,12.4
350,1234909,C1=CC=C(C=C1)CN2C3=C(C(=O)C4=C(C3=O)N=NN4CC5=CC=CC=C5)N=N2,0.001
351,1234909,C1=CC=C(C=C1)CN2C3=C(C(=O)C4=C(C3=O)N=NN4CC5=CC=CC=C5)N=N2,0.001
352,1471805,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC(=O)C3=C(C=CS3)Br,0.00342
353,1471805,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC(=O)C3=C(C=CS3)Br,37.7
354,1471805,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC(=O)C3=C(C=CS3)Br,47.3
355,1712812,C1=CC=C(C=C1)CCCON,82
356,2728703,C1=C(C=C(C2=C1C(=C(C#N)C#N)C3=C2C(=CC(=C3)S(=O)(=O)N)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)N,0.96
357,2728703,C1=C(C=C(C2=C1C(=C(C#N)C#N)C3=C2C(=CC(=C3)S(=O)(=O)N)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)N,1
358,2728703,C1=C(C=C(C2=C1C(=C(C#N)C#N)C3=C2C(=CC(=C3)S(=O)(=O)N)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)N,1.6
359,2744597,C1=CC=C2C(=C1)N(C(=O)O2)CC(=O)C3=CC=C(C=C3)Cl,38.61
360,2762970,C1=CC=C(C=C1)SC2=CNC3=C2C=C(C=C3)Cl,200
361,2763697,C1=CC2=C(N=C1)ON=C2N,100
362,2764014,C1=CC(=C(C=C1Cl)Cl)CON.Cl,0.63
363,2794173,C1=CC=C(C=C1)CNO,6
364,2803091,COC1=CC=CC(=C1)NC(=S)NC2=CC=C(C=C2)O,11.7
365,2803091,COC1=CC=CC(=C1)NC(=S)NC2=CC=C(C=C2)O,380
366,2806436,C1=CC=C(C(=C1)NC(=S)C(C#N)C(=O)NC2=CC=CC(=C2)C(F)(F)F)Cl,6.3
367,2806436,C1=CC=C(C(=C1)NC(=S)C(C#N)C(=O)NC2=CC=CC(=C2)C(F)(F)F)Cl,7
368,2806436,C1=CC=C(C(=C1)NC(=S)C(C#N)C(=O)NC2=CC=CC(=C2)C(F)(F)F)Cl,71
369,2807416,C1=CC=C(C(=C1)SC(=O)NC2=CC=C(C=C2)Cl)Cl,3.1
370,2807416,C1=CC=C(C(=C1)SC(=O)NC2=CC=C(C=C2)Cl)Cl,8
371,2807416,C1=CC=C(C(=C1)SC(=O)NC2=CC=C(C=C2)Cl)Cl,10
372,2810177,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)NN)N,13
373,2810177,C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)NN)N,15
374,2821620,CC1=CC=C(C=C1)NC2=CC=C(C3=NON=C23)[N+](=O)[O-],97
375,2821621,C1=CC(=C(C=C1Cl)Cl)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],15
376,2821621,C1=CC(=C(C=C1Cl)Cl)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],24
377,2821626,C1=CC(=CC=C1F)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],4.6
378,2821626,C1=CC(=CC=C1F)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],8.8
379,2821626,C1=CC(=CC=C1F)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],17
380,2821627,C1=CC(=CC(=C1)Cl)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],12
381,2821627,C1=CC(=CC(=C1)Cl)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],18
382,2824871,COC(=O)/C(=C(\C#N)/C1=CC=C(O1)Br)/C#N,0.71
383,2824871,COC(=O)/C(=C(\C#N)/C1=CC=C(O1)Br)/C#N,7.1
384,2828334,CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32,0.11
385,2828334,CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32,12.85
386,2828334,CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32,76.9
387,2828334,CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32,76.9
388,2828334,CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32,100
389,2828334,CN1C(=O)C(NC1=S)CC2=CNC3=CC=CC=C32,115
390,3000729,C1=CC=C(C=C1)C2=CSC(=S)N2,4
391,3000729,C1=CC=C(C=C1)C2=CSC(=S)N2,24
392,3000729,C1=CC=C(C=C1)C2=CSC(=S)N2,24.4343
393,3000729,C1=CC=C(C=C1)C2=CSC(=S)N2,50
394,3009082,C1=CC=C2C=C(C=CC2=C1)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,22.3
395,3028808,CC1=CC=C(C=C1)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,2
396,3161266,C1=CC(=C(C=C1Cl)Cl)CN2C=CN=C2,310
397,3223801,C1OC2=C(O1)C=C(C=C2)NC(=O)CSC3=NN=C4N3C(=CS4)C5=CC=CC=C5,3
398,3223801,C1OC2=C(O1)C=C(C=C2)NC(=O)CSC3=NN=C4N3C(=CS4)C5=CC=CC=C5,3
399,3446512,C1=CC=C(C(=C1)C2=NC=NN2)N,2
400,3720080,C1=CC(=CC=C1C2=CSC(=S)N2)Cl,2.6
401,3720080,C1=CC(=CC=C1C2=CSC(=S)N2)Cl,2.85759
402,3901929,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=CC(=CC=C3)Cl,1.51
403,4099901,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5F,108
404,4099901,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC(=N4)C5=CC=CC=C5F,231
405,4190125,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=CC=C(C=C3)Cl,0.63
406,4310362,C1=CC(=CC=C1NC2=CC=C(C3=NON=C23)[N+](=O)[O-])Br,68
407,4381769,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C=CS2,11
408,4381769,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C=CS2,15
409,4381769,CCOC(=O)C1=CC=C(C=C1)N2C(=O)C=CS2,100
410,4456830,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=CC=CC=C3C(F)(F)F,1.58
411,5240714,C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=CC(=CC=C3)[N+](=O)[O-],3.74
412,5305899,CC1=C2C(=NOC2=NC(=C1Cl)C)N,5.5
413,5305899,CC1=C2C(=NOC2=NC(=C1Cl)C)N,5.5
414,5318350,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CC[C@@H](C4(C)C)O,5.12
415,5318350,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CC[C@@H](C4(C)C)O,10
416,5353853,C1=CC(=C(C=C1Cl)Cl)CO/N=C(\CN2C=CN=C2)/C3=C(C=C(C=C3)Cl)Cl,28
417,5382764,C1=CC=C2C(=C1)C=C(N2)/C=C/[N+](=O)[O-],2.79
418,5712754,C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)O/N=C(\C3=CC=C(C=C3)OC4=C(C=C(C=C4)C(F)(F)F)[N+](=O)[O-])/N,20
419,5937842,CC1=C(SN=N1)C(=O)O/N=C(\COC2=CC=C(C=C2)C3SCCS3)/N,50
420,6223130,C1/C(=N\NC2=NC(=CS2)C3=CC=CC=C3)/C4=CC=CC=C4C1=O,10.39
421,6400901,C1=CC(=CC(=C1)Br)C2=NNN=C2,0.94
422,6400901,C1=CC(=CC(=C1)Br)C2=NNN=C2,2
423,6409664,C1=CC(=CC(=C1)Cl)C2=NNN=C2,0.35
424,6409664,C1=CC(=CC(=C1)Cl)C2=NNN=C2,0.62
425,6409664,C1=CC(=CC(=C1)Cl)C2=NNN=C2,0.62
426,6409664,C1=CC(=CC(=C1)Cl)C2=NNN=C2,1.2
427,6419227,CC1=CC(=CC=C1)C2=NNN=C2,7
428,6419227,CC1=CC(=CC=C1)C2=NNN=C2,22
429,6494204,C1=CC(=CC=C1C2C(=C(NC3=C2C(=O)NC(=O)N3)N)C#N)Cl,0.909
430,6494205,C1=CC(=CC=C1C2C(=C(NC3=C2C(=O)NC(=O)N3)N)C#N)Br,0.942
431,6512428,C1=C/C(=N/Cl)/C(=N\Cl)/C=C1,9.17
432,7463552,C1=CC=C(C=C1)CCN2C3=C(C=CC(=C3)Cl)OC2=O,17.91
433,8070877,C1=CC(=CC(=C1)F)CN2C3=C(C=CC(=C3)Cl)OC2=O,9.75
434,8071109,C1=CC=C2C(=C1)N(C(=O)O2)CC3=CC(=CC=C3)F,30.8
435,9584160,C1=CC=C(C(=C1)C(=O)O/N=C(/C2=CC=CC(=C2)CS(=O)(=O)C3=CC=C(C=C3)Cl)\N)Cl,60
436,9584719,CC1=CC=C(C=C1)N2C(=NN=N2)C/C=N/NC3=CC=C(C=C3)Cl,31
437,9584719,CC1=CC=C(C=C1)N2C(=NN=N2)C/C=N/NC3=CC=C(C=C3)Cl,53
438,9584719,CC1=CC=C(C=C1)N2C(=NN=N2)C/C=N/NC3=CC=C(C=C3)Cl,54
439,9685191,C1/C(=N\NC2=NC(=CS2)C3=CC(=CC=C3)O)/C4=CC=CC=C4C1=O,2.78
440,9812842,CC1=CC=CC=C1C2=NNN=C2,39
441,9812842,CC1=CC=CC=C1C2=NNN=C2,100
442,9815283,C1=CC(=CC(=C1)O)C2=NNN=C2,100
443,9815283,C1=CC(=CC(=C1)O)C2=NNN=C2,310
444,9833992,C1=CC(=CN=C1)C2=NNN=C2,680
445,9833992,C1=CC(=CN=C1)C2=NNN=C2,708
446,9833992,C1=CC(=CN=C1)C2=NNN=C2,1000
447,9877471,C1=CC(=CC=C1C2=NNN=C2)F,100
448,9877471,C1=CC(=CC=C1C2=NNN=C2)F,190
449,9877471,C1=CC(=CC=C1C2=NNN=C2)F,580
450,9877511,COC1=CC=CC=C1C2=NNN=C2,100
451,9877511,COC1=CC=CC=C1C2=NNN=C2,1028
452,9899224,C1=CC(=CC=C1C2=NNN=C2)C(F)(F)F,2300
453,9899225,C1=CC(=CC(=C1)C(F)(F)F)C2=NNN=C2,6
454,9899225,C1=CC(=CC(=C1)C(F)(F)F)C2=NNN=C2,9
455,9920462,C1=CC=C(C(=C1)C2=NNN=C2)F,70
456,9920462,C1=CC=C(C(=C1)C2=NNN=C2)F,80
457,9920916,C1=CC=C(C(=C1)C2=NNN=C2)Br,2.6
458,9920916,C1=CC=C(C(=C1)C2=NNN=C2)Br,6.4
459,9920916,C1=CC=C(C(=C1)C2=NNN=C2)Br,31.6
460,9920916,C1=CC=C(C(=C1)C2=NNN=C2)Br,148
461,9942176,C1=CN=CC=C1C2=NNN=C2,5
462,9942176,C1=CN=CC=C1C2=NNN=C2,85
463,9964175,C1=CC(=CC(=C1)N)C2=NNN=C2,100
464,9964175,C1=CC(=CC(=C1)N)C2=NNN=C2,1500
465,9964258,C1=CC=C(C(=C1)C2=NNN=C2)Cl,19.3
466,9964258,C1=CC=C(C(=C1)C2=NNN=C2)Cl,32
467,9964258,C1=CC=C(C(=C1)C2=NNN=C2)Cl,86
468,9964258,C1=CC=C(C(=C1)C2=NNN=C2)Cl,100
469,10014426,C1=CC(=CN=C1)/C=C/C2=CNC3=C2C=CC(=C3)F,350
470,10014426,C1=CC(=CN=C1)/C=C/C2=CNC3=C2C=CC(=C3)F,477.6
471,10307884,C1=CC=C(C(=C1)C2=CN=CN2)O,1.2
472,10307884,C1=CC=C(C(=C1)C2=CN=CN2)O,1.7
473,10307884,C1=CC=C(C(=C1)C2=CN=CN2)O,1.7
474,10307884,C1=CC=C(C(=C1)C2=CN=CN2)O,4.8
475,10307884,C1=CC=C(C(=C1)C2=CN=CN2)O,4.8
476,10307884,C1=CC=C(C(=C1)C2=CN=CN2)O,4.8
477,10307884,C1=CC=C(C(=C1)C2=CN=CN2)O,41
478,10355804,COC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,140
479,10374898,C1=CC=C2C=C(C(=CC2=C1)CO)N,190
480,10583021,C1C2=CC=CC=C2C3=CN=CN31,5.7
481,10890197,CCOC(=O)C1=CN=C2N1C3=CC=CC=C3S2,100
482,10909696,C1=CN=CC=C1C2=CN=CN2,1800
483,11175492,C1=CC(=C(C=C1C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N)Cl)Cl,0.65
484,11209246,C1=CC(=CC=C1C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N)Cl,1.365
485,11255489,C1=CC(=CC(=C1)Cl)C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N,0.078
486,11255489,C1=CC(=CC(=C1)Cl)C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N,0.296
487,11275256,C1=CC(=CC(=C1)C2=NNN=C2)C#N,2.8
488,11275256,C1=CC(=CC(=C1)C2=NNN=C2)C#N,2.9
489,11381798,CC1([C@H](CCC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4CO)O)C,0.59
490,11381798,CC1([C@H](CCC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4CO)O)C,1.67
491,11501135,COC1=CC=CC=C1SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)OC,200
492,11580169,C1C(C(=O)NC1=O)C2=CNC3=C2C=CC(=C3)Br,0.42
493,11580169,C1C(C(=O)NC1=O)C2=CNC3=C2C=CC(=C3)Br,0.42
494,11580169,C1C(C(=O)NC1=O)C2=CNC3=C2C=CC(=C3)Br,0.42
495,11694196,C1=CC=C(C(=C1)C2=NNN=C2)C(F)(F)F,100
496,11694196,C1=CC=C(C(=C1)C2=NNN=C2)C(F)(F)F,650
497,11757335,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2C)C)C(=O)OC3=CC(=C(C(=C3C)C)C(=O)O)OC)OC)C)O)C)O,15
498,12014591,C1=CC(=CC=C1C2=C(C(=O)NC3=C2C(=O)NC(=O)N3)C#N)F,1.149
499,12168693,C1=CC=C2C(=C1)C3=C(N2)C(=NC=C3)C4=CC=C(C=C4)[N+](=O)[O-],8.44
500,12243104,C1=CC=C2C(=C1)C=CN3C2=CN=C3,22
501,12461545,C1=CC(=CC(=C1)Cl)C2=NC=NN2,31
502,12463137,C1=CC(=CC=C1C2=CN=CN2)O,1200
503,12463137,C1=CC(=CC=C1C2=CN=CN2)O,1200
504,12463137,C1=CC(=CC=C1C2=CN=CN2)O,1200
505,12471537,COC(=O)C1=CC2=CC=CC=C2C=C1N,460
506,12474093,C1=CC(=CC=C1C2=CSC(=S)N2)Br,3.4
507,12474093,C1=CC(=CC=C1C2=CSC(=S)N2)Br,3.45144
508,12509116,C1=CC(=C(C=C1Cl)N2C=CN=C2)O,2.1
509,12674978,CC(=O)CC1(C2=C(C=CC(=C2)Cl)NC1=O)O,1.97
510,12760607,C1=CC=C(C(=C1)C(CN2C=CN=C2)O)Cl,200
511,12800721,C1=CC(=CC=C1CON)F.Cl,0.98
512,12913249,C1=CC=C(C(=C1)N2C=CN=C2)O,16
513,13393248,C1=CC=C2C(=C1)C(C(=O)N2)C[C@@H](C(=O)O)N,3.39
514,13642626,C1=CC=C2C(=C1)C=C(S2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,17.7
515,13762869,C1=CC=C2C(=C1)[C@H]([C@H]3N2C(=O)C4=CC=CC=C4N3)O,0.779
516,13762869,C1=CC=C2C(=C1)[C@H]([C@H]3N2C(=O)C4=CC=CC=C4N3)O,16
517,13802130,C1=CC=C2C(=C1)C=C3C(=NOC3=N2)N,55
518,14063018,C1=CC(=C(C=C1Cl)C2=NNN=N2)N,0.22
519,14142246,CSC(=NC#N)SCC1=CC=CC=C1,6.1
520,14142246,CSC(=NC#N)SCC1=CC=CC=C1,10
521,14171303,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=N3)C4=CC=CC=N4,0.029
522,14171304,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)SC(=N3)C4=CC=NC=C4,0.0262
523,14178483,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=CSC=C3,63.6
524,14269350,C1=CC(=CC=C1C(=O)CN2C3=C(C=CC(=C3)Cl)OC2=O)Cl,24.92
525,14269353,C1=CC=C2C(=C1)N(C(=O)O2)CC(C3=CC=C(C=C3)Cl)O,50.81
526,14269354,C1=CC(=CC=C1C(CN2C3=C(C=CC(=C3)Cl)OC2=O)O)Cl,62.66
527,14609844,CC1=COC2=C1C(=O)OC(=O)C3=C2C=CC4=C3CCCC4(C)C,10
528,14694516,C1C(C(=O)NC1=O)C2=CC=CC3=CC=CC=C32,18
529,14694516,C1C(C(=O)NC1=O)C2=CC=CC3=CC=CC=C32,18
530,14694516,C1C(C(=O)NC1=O)C2=CC=CC3=CC=CC=C32,18
531,14698017,C1=CC=C(C(=C1)C2=CN=CN2)N,18
532,15326268,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)Br,0.37
533,15326268,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)Br,0.37
534,15326268,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)Br,0.37
535,16069892,C1CN(C2=CC=CC=C21)CC3=NN=C4N3N=C(CS4)C5=CC=CC=C5,30
536,16069930,CCOC1=CC=C(C=C1)NCC2=NN=C3N2N=C(CS3)C4=CC=CS4,30
537,16069933,COC1=CC=CC(=C1)NCC2=NN=C3N2N=C(CS3)C4=CC=C(C=C4)Br,20.6
538,16069934,COC1=CC=CC(=C1)C2=NN3C(=NN=C3SC2)CNC4=CC(=CC=C4)OC,30
539,16090079,CCOC(=O)C1=C2C=CC=CN2C3=C1C(=O)C4=C(C3=O)C=CC=N4,0.977
540,16228806,C1=CC2=C(C=C1Cl)N=C(S2)NN,1.5
541,16735253,COC1=CC=CC=C1SC2=CNC3=C2C=C(C=C3)Cl,17.5
542,16735254,COC1=CC(=CC(=C1OC)OC)SC2=CNC3=C2C=C(C=C3)Cl,40
543,16738251,CC1=CC(=CC(=C1)SC2=CNC3=C2C=C(C=C3)Cl)C,20
544,17750145,C1=CC(=CC(=C1)Br)CON.Cl,0.32
545,18525978,C1=CC=C(C(=C1)CON)Br.Cl,1.6
546,18525980,C1=CC(=C(C(=C1)Cl)Cl)CON.Cl,0.45
547,18525982,C1=CC=C(C(=C1)CON)C(F)(F)F.Cl,2.5
548,18525983,COC1=CC=CC=C1CON.Cl,5.4
549,18525997,COC1=CC=CC(=C1)CON.Cl,9.5
550,18526040,C1=CC(=CC=C1CON)C(F)(F)F.Cl,8.9
551,19702149,C1=CC=C(C(=C1)C2=NNN=C2)N,33
552,19702149,C1=CC=C(C(=C1)C2=NNN=C2)N,60
553,19702149,C1=CC=C(C(=C1)C2=NNN=C2)N,100
554,19974989,C1=CC=C(C(=C1)CON)Cl.Cl,0.63
555,20525178,C1=CC(=C(C=C1C(CN2C=CN=C2)O)Cl)Cl,830
556,20963521,CCOC1=CC(=CC(=C1OCC)OCC)CNC(=O)C2=C(OC=N2)C3=CC=C(C=C3)OC,0.0063
557,21192890,C1=CC=C(C(=C1)CON)F.Cl,1.4
558,21439075,C1=CC(=C(C=C1Cl)C2=NC=NN2)N,0.034
559,21439075,C1=CC(=C(C=C1Cl)C2=NC=NN2)N,0.035
560,21683122,C1=CC(=C(C=C1CON)Cl)Cl.Cl,2.1
561,21723626,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NNN=C2,15
562,21723626,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NNN=C2,24
563,21798789,C1=CC(=C(C=C1Cl)Cl)CCN2C=CN=C2,820
564,22009901,CCC1=CC=CC=C1C2=NNN=C2,100
565,22009901,CCC1=CC=CC=C1C2=NNN=C2,230
566,22989754,C1=CC=C(C=C1)/C=C/CON.Cl,7.1
567,22989786,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)ON)F.Cl,1.68
568,22989786,C1=CC(=CC=C1C(C2=CC=C(C=C2)F)ON)F.Cl,9
569,22989894,C1=CC=C(C=C1)C2=CC=C(C=C2)CON.Cl,12
570,23063802,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)Cl,0.83
571,23063802,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)Cl,2.1
572,23063802,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)Cl,2.1
573,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.00012
574,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.07
575,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.15
576,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.15
577,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.15
578,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.15
579,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.21
580,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.21
581,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.21
582,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.216
583,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.37
584,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.41
585,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.41
586,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.41
587,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.41
588,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.41
589,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.41
590,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,0.41
591,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,1.7
592,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,1.7
593,23063810,C1C(C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,1.8
